Classifier,Feature Set,Metric,Mean,Std,Folds
Logistic Regression,TF-IDF,accuracy,0.8311,0.0021,5
Logistic Regression,TF-IDF,precision,0.8116,0.0084,5
Logistic Regression,TF-IDF,recall,0.4039,0.0092,5
Logistic Regression,TF-IDF,f1,0.5393,0.0084,5
Logistic Regression,TF-IDF,roc_auc,0.8664,0.0055,5
Random Forest,TF-IDF,accuracy,0.8196,0.0035,5
Random Forest,TF-IDF,precision,0.7087,0.0138,5
Random Forest,TF-IDF,recall,0.4472,0.0083,5
Random Forest,TF-IDF,f1,0.5483,0.0083,5
Random Forest,TF-IDF,roc_auc,0.8359,0.0057,5
SVM (LinearSVC),TF-IDF,accuracy,0.8407,0.0035,5
SVM (LinearSVC),TF-IDF,precision,0.7781,0.0111,5
SVM (LinearSVC),TF-IDF,recall,0.4889,0.0124,5
SVM (LinearSVC),TF-IDF,f1,0.6004,0.0109,5
SVM (LinearSVC),TF-IDF,roc_auc,0.8594,0.0044,5
Logistic Regression,Word2Vec,accuracy,0.8129,0.0023,5
Logistic Regression,Word2Vec,precision,0.738,0.0141,5
Logistic Regression,Word2Vec,recall,0.3662,0.0121,5
Logistic Regression,Word2Vec,f1,0.4893,0.0099,5
Logistic Regression,Word2Vec,roc_auc,0.8017,0.0067,5
Random Forest,Word2Vec,accuracy,0.8117,0.0049,5
Random Forest,Word2Vec,precision,0.7149,0.0223,5
Random Forest,Word2Vec,recall,0.385,0.0105,5
Random Forest,Word2Vec,f1,0.5004,0.0124,5
Random Forest,Word2Vec,roc_auc,0.7871,0.007,5
SVM (LinearSVC),Word2Vec,accuracy,0.8143,0.0033,5
SVM (LinearSVC),Word2Vec,precision,0.7346,0.0138,5
SVM (LinearSVC),Word2Vec,recall,0.3786,0.0136,5
SVM (LinearSVC),Word2Vec,f1,0.4996,0.0125,5
SVM (LinearSVC),Word2Vec,roc_auc,0.8069,0.0069,5
Logistic Regression,TF-IDF+VADER+NRC,accuracy,0.8344,0.002,5
Logistic Regression,TF-IDF+VADER+NRC,precision,0.8142,0.0049,5
Logistic Regression,TF-IDF+VADER+NRC,recall,0.4192,0.0096,5
Logistic Regression,TF-IDF+VADER+NRC,f1,0.5534,0.0087,5
Logistic Regression,TF-IDF+VADER+NRC,roc_auc,0.8651,0.0065,5
Random Forest,TF-IDF+VADER+NRC,accuracy,0.8198,0.0037,5
Random Forest,TF-IDF+VADER+NRC,precision,0.7463,0.0155,5
Random Forest,TF-IDF+VADER+NRC,recall,0.4003,0.0106,5
Random Forest,TF-IDF+VADER+NRC,f1,0.521,0.0108,5
Random Forest,TF-IDF+VADER+NRC,roc_auc,0.8358,0.0032,5
SVM (LinearSVC),TF-IDF+VADER+NRC,accuracy,0.8398,0.0027,5
SVM (LinearSVC),TF-IDF+VADER+NRC,precision,0.7752,0.008,5
SVM (LinearSVC),TF-IDF+VADER+NRC,recall,0.4873,0.012,5
SVM (LinearSVC),TF-IDF+VADER+NRC,f1,0.5983,0.0095,5
SVM (LinearSVC),TF-IDF+VADER+NRC,roc_auc,0.8601,0.0047,5
Logistic Regression,Word2Vec+VADER+NRC,accuracy,0.8172,0.0043,5
Logistic Regression,Word2Vec+VADER+NRC,precision,0.7488,0.0181,5
Logistic Regression,Word2Vec+VADER+NRC,recall,0.3815,0.016,5
Logistic Regression,Word2Vec+VADER+NRC,f1,0.5052,0.0152,5
